Strategy 1000 of 1000 done.
Strategy: {:gold=>1.2836835921580858, :food=>1.4393119806341028, :prestige=>0.850163487324407, :reputation=>1.1781352638435632, :power=>1.688253143217743, :risk=>0.45094172493528184, :karma=>1.0926565128485057, :general=>1} won 34 times
Strategy: {:gold=>1.8917218858988714, :food=>1.0220352357815272, :prestige=>0.5109238830424983, :reputation=>-0.4276985993554048, :power=>0.9512762282366658, :risk=>-0.8135835091743089, :karma=>0.7676632629856841, :general=>1} won 34 times
Strategy: {:gold=>1.9581800257259354, :food=>0.07125012701284006, :prestige=>0.9115122937418665, :reputation=>-0.34911134264646915, :power=>1.7333158921481164, :risk=>0.4664613090578187, :karma=>0.17853406599975075, :general=>1} won 34 times
Strategy: {:gold=>0.6545510547313873, :food=>1.1553655304219805, :prestige=>1.663066524976779, :reputation=>0.5453114274640916, :power=>1.732021013949045, :risk=>-0.6789859015338731, :karma=>1.1342992406729477, :general=>1} won 34 times
Strategy: {:gold=>1.6096124599838542, :food=>0.36519287647676113, :prestige=>0.8045326948849758, :reputation=>-1.015926773380151, :power=>1.5853972477850773, :risk=>0.672583043673475, :karma=>0.40772865570471506, :general=>1} won 34 times
Strategy: {:gold=>1.5175108936427175, :food=>0.7253587643328099, :prestige=>0.7842293981148352, :reputation=>1.1986219526946673, :power=>1.9834991150195518, :risk=>0.27571463955687747, :karma=>0.759089690799573, :general=>1} won 34 times 
Strategy: {:gold=>1.3173878792940936, :food=>0.39887566928158913, :prestige=>0.09717076245677125, :reputation=>-1.6195865971357648, :power=>1.5035438788144533, :risk=>0.2508599089559769, :karma=>0.272449206520863, :general=>1} won 34 times
Strategy: {:gold=>0.6374186992072719, :food=>0.4857048728760214, :prestige=>0.005966837660063451, :reputation=>0.18714491310130166, :power=>1.3840153698375932, :risk=>-0.20738809063723096, :karma=>0.31843173472632325, :general=>1} won 34 times
Strategy: {:gold=>1.0123046182207427, :food=>1.263760811812077, :prestige=>1.3016903185466884, :reputation=>-1.9885727115262806, :power=>1.6856758546508184, :risk=>-0.20444119443206965, :karma=>0.21124310473587649, :general=>1} won 34 times
Strategy: {:gold=>0.2970454316988167, :food=>0.636845249716202, :prestige=>1.2876460352309909, :reputation=>1.1558672438452309, :power=>1.862288776113565, :risk=>0.7349066967787046, :karma=>1.5716537709030107, :general=>1} won 33 times
Strategy: {:gold=>1.7322932168041076, :food=>0.6041325111814582, :prestige=>1.243624730090719, :reputation=>-1.1406254918852876, :power=>1.4612988365641262, :risk=>-0.6183721816449226, :karma=>1.0319936808299155, :general=>1} won 33 times
Strategy: {:gold=>0.36537435135781804, :food=>0.2942669760574095, :prestige=>0.8658853805055429, :reputation=>0.6409179725090861, :power=>1.980674811155827, :risk=>0.02280909318720159, :karma=>0.5171578757515165, :general=>1} won 33 times
